Citizenship Country,Atlanta Area of Responsibility,Baltimore Area of Responsibility,Boston Area of Responsibility,Buffalo Area of Responsibility,Chicago Area of Responsibility,Dallas Area of Responsibility,Denver Area of Responsibility,Detroit Area of Responsibility,El Paso Area of Responsibility,HQ Area of Responsibility,Harlingen Area of Responsibility,Houston Area of Responsibility,Los Angeles Area of Responsibility,Miami Area of Responsibility,New Orleans Area of Responsibility,New York City Area of Responsibility,Newark Area of Responsibility,Philadelphia Area of Responsibility,Phoenix Area of Responsibility,Salt Lake City Area of Responsibility,San Antonio Area of Responsibility,San Diego Area of Responsibility,San Francisco Area of Responsibility,Seattle Area of Responsibility,St. Paul Area of Responsibility,Washington Area of Responsibility
AFGHANISTAN,3,0,1,8,5,5,3,0,0,0,0,4,2,0,7,0,3,2,2,0,18,6,4,12,0,6
ALBANIA,0,0,4,2,0,1,0,5,0,0,0,0,0,4,1,3,0,1,0,0,1,0,0,0,0,0
ALGERIA,0,1,1,0,0,1,0,0,0,0,0,2,1,4,0,1,2,1,0,0,0,0,0,1,0,2
ANGOLA,1,0,50,2,5,4,1,1,0,0,0,3,0,0,0,2,0,0,3,0,1,4,1,19,0,0
ANTIGUA-BARBUDA,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARGENTINA,5,1,1,1,3,2,0,1,0,0,1,1,2,39,2,1,2,2,2,3,0,1,1,0,0,2
ARMENIA,0,0,0,0,0,2,1,1,0,0,0,1,22,1,1,0,0,1,1,0,0,3,6,4,1,0
AUSTRALIA,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,1,0,2,4,0,1,0,1,0
AUSTRIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AZERBAIJAN,1,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,1,0,3,0,0,0
BAHAMAS,19,1,1,0,8,6,1,4,0,0,0,2,1,96,20,1,2,4,0,3,1,0,1,0,1,2
BAHRAIN,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BANGLADESH,1,2,3,3,0,2,0,4,0,0,0,2,0,9,4,18,3,4,0,1,0,0,1,3,0,5
BARBADOS,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,2,0,0,0,0,0,0,0,1
BELARUS,1,0,1,0,1,0,2,0,1,0,0,0,0,4,1,1,1,2,0,0,0,0,0,3,0,0
BELGIUM,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,1,1,0
BELIZE,3,6,0,4,9,6,1,0,1,0,2,11,21,8,12,3,1,3,1,3,6,1,9,1,3,4
BENIN,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
BHUTAN,0,0,0,0,3,0,0,4,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,1,0,0
BOLIVIA,3,3,4,0,4,2,0,0,2,0,4,0,1,19,3,1,6,1,0,1,2,0,0,3,3,58
BOSNIA-HERZEGOVINA,4,0,2,1,13,0,0,0,0,0,0,0,1,0,2,1,0,2,2,1,0,1,0,0,4,2
BOTSWANA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BRAZIL,107,24,517,23,14,7,3,20,6,0,83,3,2,269,19,28,243,149,1,16,8,5,7,42,5,3
BRITISH VIRGIN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
BRUNEI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BULGARIA,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0
BURKINA FASO,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,1
BURMA,3,0,0,0,33,5,1,0,0,1,0,6,0,0,3,1,0,1,1,0,0,0,0,1,14,0
BURUNDI,0,0,7,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1
