Citizenship Country,287(g) Program,Anti-Smuggling,Boat Patrol,CAP Federal Incarceration,CAP Local Incarceration,CAP State Incarceration,Crewman/Stowaway,Criminal Alien Program,ERO Reprocessed Arrest,Inspections,Law Enforcement Agency Response Unit,Located,Non-Custodial Arrest,Organized Crime Drug Enforcement Task Force,Other Agency (turned over to INS),Other Task Force,Other efforts,Patrol Border,Patrol Interior,Probation and Parole,Traffic Check,Transportation Check Aircraft,Transportation Check Passenger Train,Worksite Enforcement
AFGHANISTAN,0,1,0,20,9,6,0,0,17,0,0,6,33,0,0,0,11,0,0,1,0,0,0,0
ALBANIA,3,0,0,7,5,3,0,0,5,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0
ALGERIA,0,0,0,2,8,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
ANGOLA,1,0,0,0,16,1,0,0,15,0,0,9,61,0,0,0,5,0,0,1,0,0,0,0
ANTIGUA-BARBUDA,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ARGENTINA,2,0,0,3,44,6,0,0,3,0,0,5,9,0,0,0,0,0,0,3,0,0,0,0
ARMENIA,0,0,0,12,6,5,0,0,8,0,0,10,7,0,0,0,1,0,0,2,0,0,0,0
AUSTRALIA,0,0,0,3,7,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
AUSTRIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZERBAIJAN,0,0,0,0,4,3,0,0,2,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0
BAHAMAS,8,0,0,24,105,7,0,0,2,0,0,7,13,0,1,1,1,0,0,7,0,0,0,0
BAHRAIN,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BANGLADESH,0,0,0,4,11,4,0,0,34,0,0,8,29,0,0,0,2,0,0,5,0,0,0,0
BARBADOS,0,0,0,3,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
BELARUS,1,0,2,1,6,1,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
BELGIUM,0,0,0,1,1,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
BELIZE,3,0,0,9,34,21,0,0,6,0,0,14,33,0,0,0,0,0,0,3,0,0,0,0
BENIN,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
BHUTAN,0,0,0,0,3,8,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
BOLIVIA,8,0,0,6,43,4,0,0,15,2,0,14,37,0,0,0,3,0,0,2,0,0,0,0
BOSNIA-HERZEGOVINA,0,0,0,5,13,2,0,0,1,0,0,3,7,0,0,0,3,0,0,3,0,0,0,0
BOTSWANA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BRAZIL,37,3,0,29,518,24,0,0,45,4,3,201,714,0,3,1,39,2,0,18,0,0,0,0
BRITISH VIRGIN ISLANDS,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BRUNEI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BULGARIA,0,0,0,1,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BURKINA FASO,0,0,0,0,6,1,0,0,3,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0
BURMA,2,0,0,2,16,32,0,0,1,0,0,3,10,0,0,0,0,0,0,5,0,0,0,0
BURUNDI,0,0,0,0,9,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0
CAMBODIA,0,0,0,2,14,15,0,0,0,0,0,3,10,0,0,0,2,0,0,1,0,0,0,0
CAMEROON,3,0,0,3,16,3,0,0,14,0,0,2,54,0,0,0,3,0,0,0,0,0,0,0
CANADA,1,0,0,42,46,18,0,0,22,0,0,3,10,0,0,0,1,0,0,6,0,0,0,0
CAPE VERDE,3,0,0,1,11,5,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
