Citizenship Country,287(g) Program,Anti-Smuggling,Boat Patrol,CAP Federal Incarceration,CAP Local Incarceration,CAP State Incarceration,Crewman/Stowaway,Criminal Alien Program,ERO Reprocessed Arrest,Inspections,Law Enforcement Agency Response Unit,Located,Non-Custodial Arrest,Organized Crime Drug Enforcement Task Force,Other Agency (turned over to INS),Other Task Force,Other efforts,Patrol Border,Patrol Interior,Probation and Parole,Traffic Check,Transportation Check Aircraft,Transportation Check Passenger Train,Worksite Enforcement
AFGHANISTAN,0.0,0.96,0.0,19.23,8.65,5.77,0.0,0.0,16.35,0.0,0.0,5.77,31.73,0.0,0.0,0.0,10.58,0.0,0.0,0.96,0.0,0.0,0.0,0.0
ALBANIA,10.71,0.0,0.0,25.0,17.86,10.71,0.0,0.0,17.86,0.0,3.57,7.14,3.57,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0
ALGERIA,0.0,0.0,0.0,11.76,47.06,5.88,0.0,0.0,0.0,0.0,0.0,11.76,23.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGOLA,0.92,0.0,0.0,0.0,14.68,0.92,0.0,0.0,13.76,0.0,0.0,8.26,55.96,0.0,0.0,0.0,4.59,0.0,0.0,0.92,0.0,0.0,0.0,0.0
ANTIGUA-BARBUDA,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGENTINA,2.67,0.0,0.0,4.0,58.67,8.0,0.0,0.0,4.0,0.0,0.0,6.67,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
ARMENIA,0.0,0.0,0.0,23.53,11.76,9.8,0.0,0.0,15.69,0.0,0.0,19.61,13.73,0.0,0.0,0.0,1.96,0.0,0.0,3.92,0.0,0.0,0.0,0.0
AUSTRALIA,0.0,0.0,0.0,20.0,46.67,13.33,0.0,0.0,0.0,0.0,0.0,13.33,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZERBAIJAN,0.0,0.0,0.0,0.0,25.0,18.75,0.0,0.0,12.5,0.0,0.0,12.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0
BAHAMAS,4.55,0.0,0.0,13.64,59.66,3.98,0.0,0.0,1.14,0.0,0.0,3.98,7.39,0.0,0.57,0.57,0.57,0.0,0.0,3.98,0.0,0.0,0.0,0.0
BAHRAIN,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANGLADESH,0.0,0.0,0.0,4.12,11.34,4.12,0.0,0.0,35.05,0.0,0.0,8.25,29.9,0.0,0.0,0.0,2.06,0.0,0.0,5.15,0.0,0.0,0.0,0.0
BARBADOS,0.0,0.0,0.0,30.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELARUS,5.26,0.0,10.53,5.26,31.58,5.26,0.0,0.0,10.53,0.0,0.0,21.05,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELGIUM,0.0,0.0,0.0,11.11,11.11,11.11,0.0,0.0,0.0,0.0,0.0,55.56,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELIZE,2.44,0.0,0.0,7.32,27.64,17.07,0.0,0.0,4.88,0.0,0.0,11.38,26.83,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,0.0,0.0,0.0
BENIN,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHUTAN,0.0,0.0,0.0,0.0,20.0,53.33,0.0,0.0,6.67,0.0,0.0,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0
BOLIVIA,5.97,0.0,0.0,4.48,32.09,2.99,0.0,0.0,11.19,1.49,0.0,10.45,27.61,0.0,0.0,0.0,2.24,0.0,0.0,1.49,0.0,0.0,0.0,0.0
BOSNIA-HERZEGOVINA,0.0,0.0,0.0,13.51,35.14,5.41,0.0,0.0,2.7,0.0,0.0,8.11,18.92,0.0,0.0,0.0,8.11,0.0,0.0,8.11,0.0,0.0,0.0,0.0
BOTSWANA,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
BRAZIL,2.25,0.18,0.0,1.77,31.57,1.46,0.0,0.0,2.74,0.24,0.18,12.25,43.51,0.0,0.18,0.06,2.38,0.12,0.0,1.1,0.0,0.0,0.0,0.0
BRITISH VIRGIN ISLANDS,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRUNEI,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULGARIA,0.0,0.0,0.0,12.5,12.5,50.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
