Citizenship Country,Apprehension AOR,n_arrests
AFGHANISTAN,Atlanta Area of Responsibility,3
AFGHANISTAN,Boston Area of Responsibility,1
AFGHANISTAN,Buffalo Area of Responsibility,8
AFGHANISTAN,Chicago Area of Responsibility,5
AFGHANISTAN,Dallas Area of Responsibility,5
AFGHANISTAN,Denver Area of Responsibility,3
AFGHANISTAN,Houston Area of Responsibility,4
AFGHANISTAN,Los Angeles Area of Responsibility,2
AFGHANISTAN,New Orleans Area of Responsibility,7
AFGHANISTAN,Newark Area of Responsibility,3
AFGHANISTAN,Philadelphia Area of Responsibility,2
AFGHANISTAN,Phoenix Area of Responsibility,2
AFGHANISTAN,San Antonio Area of Responsibility,18
AFGHANISTAN,San Diego Area of Responsibility,6
AFGHANISTAN,San Francisco Area of Responsibility,4
AFGHANISTAN,Seattle Area of Responsibility,12
AFGHANISTAN,Washington Area of Responsibility,6
ALBANIA,Boston Area of Responsibility,4
ALBANIA,Buffalo Area of Responsibility,2
ALBANIA,Dallas Area of Responsibility,1
ALBANIA,Detroit Area of Responsibility,5
ALBANIA,Miami Area of Responsibility,4
ALBANIA,New Orleans Area of Responsibility,1
ALBANIA,New York City Area of Responsibility,3
ALBANIA,Philadelphia Area of Responsibility,1
ALBANIA,San Antonio Area of Responsibility,1
ALGERIA,Baltimore Area of Responsibility,1
ALGERIA,Boston Area of Responsibility,1
ALGERIA,Dallas Area of Responsibility,1
ALGERIA,Houston Area of Responsibility,2
ALGERIA,Los Angeles Area of Responsibility,1
ALGERIA,Miami Area of Responsibility,4
ALGERIA,New York City Area of Responsibility,1
ALGERIA,Newark Area of Responsibility,2
ALGERIA,Philadelphia Area of Responsibility,1
ALGERIA,Seattle Area of Responsibility,1
ALGERIA,Washington Area of Responsibility,2
ANGOLA,Atlanta Area of Responsibility,1
ANGOLA,Boston Area of Responsibility,50
ANGOLA,Buffalo Area of Responsibility,2
ANGOLA,Chicago Area of Responsibility,5
ANGOLA,Dallas Area of Responsibility,4
ANGOLA,Denver Area of Responsibility,1
ANGOLA,Detroit Area of Responsibility,1
ANGOLA,Houston Area of Responsibility,3
