Age Group,Unique Identifier
0-4,0.3286436704748806
5-9,1.042541308419737
10-14,0.9414786305627216
15-19,2.0429098452525234
20-24,11.463775108946326
25-29,17.37784143797753
30-34,18.190902079383594
35-39,16.268431590825333
40-44,13.048863424808987
45-49,9.089182114185629
50-54,5.35366238226768
55-59,2.7875822084094786
60-64,1.2727818451917343
65-69,0.5284894169139409
70-74,0.19452665813079636
75-79,0.05547049235760991
80-84,0.009878306858204504
85-89,0.0026595441541319817
90-94,0.00037993487916171165
