Citizenship Country,Female,Male,Unknown
AFGHANISTAN,16,190,0
ALBANIA,6,49,0
ALGERIA,0,27,0
ANDORRA,0,0,0
ANGOLA,32,130,0
ANGUILLA,0,1,0
ANTIGUA-BARBUDA,2,6,0
ARGENTINA,30,121,0
ARMENIA,9,87,0
AUSTRALIA,2,27,0
AUSTRIA,0,1,0
AZERBAIJAN,4,44,0
BAHAMAS,29,256,6
BAHRAIN,0,3,0
BANGLADESH,9,157,0
BARBADOS,1,19,0
BELARUS,8,38,0
BELGIUM,3,21,0
BELIZE,34,161,1
BENIN,1,14,0
BHUTAN,0,72,1
BOLIVIA,116,261,0
BOSNIA-HERZEGOVINA,8,44,1
BOTSWANA,0,4,0
BRAZIL,672,2586,10
BRITISH VIRGIN ISLANDS,0,9,0
BRUNEI,0,1,0
BULGARIA,5,11,1
BURKINA FASO,4,42,0
BURMA,6,139,0
BURUNDI,0,25,0
CAMBODIA,6,84,2
CAMEROON,54,123,1
CANADA,45,194,1
CAPE VERDE,2,51,0
CENTRAL AFRICAN REPUBLIC,0,6,0
CHAD,1,41,0
CHILE,126,505,5
"CHINA, PEOPLES REPUBLIC OF",404,1130,5
COLOMBIA,2773,7118,51
CONGO,13,50,0
COSTA RICA,33,258,5
CROATIA,2,5,0
CUBA,1257,4874,73
CURACAO,0,1,0
CYPRUS,0,1,0
CZECH REPUBLIC,0,14,2
CZECHOSLOVAKIA,0,1,0
DEM REP OF THE CONGO,9,127,1
DENMARK,0,4,0
DJIBOUTI,2,5,0
DOMINICA,0,23,0
DOMINICAN REPUBLIC,698,4343,20
EAST TIMOR,0,0,1
ECUADOR,2794,6504,40
EGYPT,17,216,1
EL SALVADOR,1558,10421,49
EQUATORIAL GUINEA,6,12,0
ERITREA,6,61,1
ESTONIA,1,3,0
ESWATINI,1,0,0
ETHIOPIA,15,86,2
FIJI,1,9,0
FINLAND,1,3,0
FRANCE,13,55,1
FRENCH GUIANA,0,2,0
FRENCH POLYNESIA,1,0,0
GABON,0,8,0
GAMBIA,0,32,1
GEORGIA,25,220,2
GERMANY,13,38,1
GHANA,24,150,0
GREECE,0,18,0
GRENADA,0,11,0
GUADELOUPE,0,6,0
GUATEMALA,3021,29363,174
GUINEA,26,138,2
GUINEA-BISSAU,0,6,0
GUYANA,14,101,0
HAITI,203,1116,23
HONDURAS,3391,26065,124
HONG KONG,3,12,0
HUNGARY,3,38,1
ICELAND,1,0,0
INDIA,169,1721,4
INDONESIA,10,48,0
IRAN,57,297,0
IRAQ,5,98,0
IRELAND,18,57,0
ISRAEL,5,83,0
ITALY,7,109,0
IVORY COAST,2,35,1
JAMAICA,171,1355,14
JAPAN,2,7,0
JORDAN,11,269,0
KAZAKHSTAN,6,51,0
KENYA,15,121,0
KOREA,1,10,0
KOSOVO,1,24,0
KUWAIT,0,8,0
KYRGYZSTAN,6,85,0
LAOS,6,214,1
LATVIA,1,16,1
LEBANON,1,60,0
LIBERIA,10,128,1
LIBYA,0,7,0
LITHUANIA,1,12,0
MALAWI,2,4,0
MALAYSIA,0,9,0
MALI,1,48,0
MALTA,0,2,0
MARSHALL ISLANDS,13,156,0
MAURITANIA,4,311,0
MAURITIUS,0,3,0
MEXICO,6627,92150,428
"MICRONESIA, FEDERATED STATES OF",10,180,0
MOLDOVA,6,21,0
MONGOLIA,0,9,0
MONTENEGRO,1,9,0
MONTSERRAT,0,2,0
MOROCCO,7,98,0
MOZAMBIQUE,1,4,0
NAMIBIA,2,1,0
NEPAL,10,159,1
NETHERLANDS,5,26,0
NETHERLANDS ANTILLES,0,4,0
NEW ZEALAND,3,15,0
NICARAGUA,3892,10761,31
NIGER,1,29,0
NIGERIA,49,393,2
NORTH MACEDONIA,0,9,0
NORWAY,0,3,0
OMAN,0,2,0
PAKISTAN,6,178,2
PALAU,2,13,0
PANAMA,51,119,0
PAPUA NEW GUINEA,0,2,0
PARAGUAY,7,26,0
PERU,1230,2751,13
PHILIPPINES,32,160,3
POLAND,18,79,0
PORTUGAL,9,82,0
ROMANIA,308,722,6
RUSSIA,124,609,1
RWANDA,2,27,0
SAMOA,1,12,0
SAO TOME AND PRINCIPE,0,2,0
SAUDI ARABIA,4,35,0
SENEGAL,18,351,1
SERBIA,1,8,1
SERBIA AND MONTENEGRO,0,2,0
SIERRA LEONE,4,44,2
SINT EUSTATIUS,0,0,0
SINT MAARTEN(DUTCH),0,3,0
SLOVAKIA,0,12,0
SLOVENIA,0,4,0
SOMALIA,11,128,4
SOUTH AFRICA,12,43,1
SOUTH KOREA,15,65,2
SOUTH SUDAN,3,19,1
SPAIN,55,201,0
SRI LANKA,2,33,0
ST. KITTS-NEVIS,1,13,0
ST. LUCIA,3,26,1
ST. VINCENT-GRENADINES,1,6,0
SUDAN,7,117,0
SURINAME,1,14,0
SWEDEN,1,11,0
SWITZERLAND,0,4,0
SYRIA,0,96,1
TAIWAN,21,19,0
TAJIKISTAN,1,112,0
TANZANIA,3,23,0
THAILAND,4,56,0
TOGO,1,30,0
TONGA,2,20,1
TRINIDAD AND TOBAGO,11,117,2
TUNISIA,2,22,0
