Citizenship Country,Female,Male,Unknown,Female (%),Male (%),Unknown (%)
AFGHANISTAN,16,190,0,7.77,92.23,0.0
ALBANIA,6,49,0,10.91,89.09,0.0
ALGERIA,0,27,0,0.0,100.0,0.0
ANDORRA,0,0,0,,,
ANGOLA,32,130,0,19.75,80.25,0.0
ANGUILLA,0,1,0,0.0,100.0,0.0
ANTIGUA-BARBUDA,2,6,0,25.0,75.0,0.0
ARGENTINA,30,121,0,19.87,80.13,0.0
ARMENIA,9,87,0,9.38,90.62,0.0
AUSTRALIA,2,27,0,6.9,93.1,0.0
AUSTRIA,0,1,0,0.0,100.0,0.0
AZERBAIJAN,4,44,0,8.33,91.67,0.0
BAHAMAS,29,256,6,9.97,87.97,2.06
BAHRAIN,0,3,0,0.0,100.0,0.0
BANGLADESH,9,157,0,5.42,94.58,0.0
BARBADOS,1,19,0,5.0,95.0,0.0
BELARUS,8,38,0,17.39,82.61,0.0
BELGIUM,3,21,0,12.5,87.5,0.0
BELIZE,34,161,1,17.35,82.14,0.51
BENIN,1,14,0,6.67,93.33,0.0
BHUTAN,0,72,1,0.0,98.63,1.37
BOLIVIA,116,261,0,30.77,69.23,0.0
BOSNIA-HERZEGOVINA,8,44,1,15.09,83.02,1.89
BOTSWANA,0,4,0,0.0,100.0,0.0
BRAZIL,672,2586,10,20.56,79.13,0.31
BRITISH VIRGIN ISLANDS,0,9,0,0.0,100.0,0.0
BRUNEI,0,1,0,0.0,100.0,0.0
BULGARIA,5,11,1,29.41,64.71,5.88
BURKINA FASO,4,42,0,8.7,91.3,0.0
BURMA,6,139,0,4.14,95.86,0.0
BURUNDI,0,25,0,0.0,100.0,0.0
CAMBODIA,6,84,2,6.52,91.3,2.17
CAMEROON,54,123,1,30.34,69.1,0.56
CANADA,45,194,1,18.75,80.83,0.42
CAPE VERDE,2,51,0,3.77,96.23,0.0
CENTRAL AFRICAN REPUBLIC,0,6,0,0.0,100.0,0.0
CHAD,1,41,0,2.38,97.62,0.0
CHILE,126,505,5,19.81,79.4,0.79
"CHINA, PEOPLES REPUBLIC OF",404,1130,5,26.25,73.42,0.32
COLOMBIA,2773,7118,51,27.89,71.6,0.51
CONGO,13,50,0,20.63,79.37,0.0
COSTA RICA,33,258,5,11.15,87.16,1.69
CROATIA,2,5,0,28.57,71.43,0.0
CUBA,1257,4874,73,20.26,78.56,1.18
CURACAO,0,1,0,0.0,100.0,0.0
CYPRUS,0,1,0,0.0,100.0,0.0
CZECH REPUBLIC,0,14,2,0.0,87.5,12.5
CZECHOSLOVAKIA,0,1,0,0.0,100.0,0.0
DEM REP OF THE CONGO,9,127,1,6.57,92.7,0.73
DENMARK,0,4,0,0.0,100.0,0.0
