Citizenship Country,Female,Male,Unknown
AFGHANISTAN,7.77,92.23,0.0
ALBANIA,10.91,89.09,0.0
ALGERIA,0.0,100.0,0.0
ANDORRA,,,
ANGOLA,19.75,80.25,0.0
ANGUILLA,0.0,100.0,0.0
ANTIGUA-BARBUDA,25.0,75.0,0.0
ARGENTINA,19.87,80.13,0.0
ARMENIA,9.38,90.62,0.0
AUSTRALIA,6.9,93.1,0.0
AUSTRIA,0.0,100.0,0.0
AZERBAIJAN,8.33,91.67,0.0
BAHAMAS,9.97,87.97,2.06
BAHRAIN,0.0,100.0,0.0
BANGLADESH,5.42,94.58,0.0
BARBADOS,5.0,95.0,0.0
BELARUS,17.39,82.61,0.0
BELGIUM,12.5,87.5,0.0
BELIZE,17.35,82.14,0.51
BENIN,6.67,93.33,0.0
BHUTAN,0.0,98.63,1.37
BOLIVIA,30.77,69.23,0.0
BOSNIA-HERZEGOVINA,15.09,83.02,1.89
BOTSWANA,0.0,100.0,0.0
BRAZIL,20.56,79.13,0.31
BRITISH VIRGIN ISLANDS,0.0,100.0,0.0
BRUNEI,0.0,100.0,0.0
BULGARIA,29.41,64.71,5.88
BURKINA FASO,8.7,91.3,0.0
BURMA,4.14,95.86,0.0
BURUNDI,0.0,100.0,0.0
CAMBODIA,6.52,91.3,2.17
CAMEROON,30.34,69.1,0.56
CANADA,18.75,80.83,0.42
CAPE VERDE,3.77,96.23,0.0
CENTRAL AFRICAN REPUBLIC,0.0,100.0,0.0
CHAD,2.38,97.62,0.0
CHILE,19.81,79.4,0.79
"CHINA, PEOPLES REPUBLIC OF",26.25,73.42,0.32
COLOMBIA,27.89,71.6,0.51
CONGO,20.63,79.37,0.0
COSTA RICA,11.15,87.16,1.69
CROATIA,28.57,71.43,0.0
CUBA,20.26,78.56,1.18
CURACAO,0.0,100.0,0.0
CYPRUS,0.0,100.0,0.0
CZECH REPUBLIC,0.0,87.5,12.5
CZECHOSLOVAKIA,0.0,100.0,0.0
DEM REP OF THE CONGO,6.57,92.7,0.73
DENMARK,0.0,100.0,0.0
DJIBOUTI,28.57,71.43,0.0
DOMINICA,0.0,100.0,0.0
DOMINICAN REPUBLIC,13.79,85.81,0.4
EAST TIMOR,0.0,0.0,100.0
ECUADOR,29.92,69.65,0.43
EGYPT,7.26,92.31,0.43
EL SALVADOR,12.95,86.64,0.41
EQUATORIAL GUINEA,33.33,66.67,0.0
ERITREA,8.82,89.71,1.47
ESTONIA,25.0,75.0,0.0
ESWATINI,100.0,0.0,0.0
ETHIOPIA,14.56,83.5,1.94
FIJI,10.0,90.0,0.0
FINLAND,25.0,75.0,0.0
FRANCE,18.84,79.71,1.45
FRENCH GUIANA,0.0,100.0,0.0
FRENCH POLYNESIA,100.0,0.0,0.0
GABON,0.0,100.0,0.0
GAMBIA,0.0,96.97,3.03
GEORGIA,10.12,89.07,0.81
GERMANY,25.0,73.08,1.92
GHANA,13.79,86.21,0.0
GREECE,0.0,100.0,0.0
GRENADA,0.0,100.0,0.0
GUADELOUPE,0.0,100.0,0.0
GUATEMALA,9.28,90.19,0.53
GUINEA,15.66,83.13,1.2
GUINEA-BISSAU,0.0,100.0,0.0
GUYANA,12.17,87.83,0.0
HAITI,15.13,83.16,1.71
HONDURAS,11.46,88.12,0.42
HONG KONG,20.0,80.0,0.0
HUNGARY,7.14,90.48,2.38
ICELAND,100.0,0.0,0.0
INDIA,8.92,90.87,0.21
INDONESIA,17.24,82.76,0.0
IRAN,16.1,83.9,0.0
IRAQ,4.85,95.15,0.0
IRELAND,24.0,76.0,0.0
ISRAEL,5.68,94.32,0.0
ITALY,6.03,93.97,0.0
IVORY COAST,5.26,92.11,2.63
JAMAICA,11.1,87.99,0.91
JAPAN,22.22,77.78,0.0
JORDAN,3.93,96.07,0.0
KAZAKHSTAN,10.53,89.47,0.0
KENYA,11.03,88.97,0.0
KOREA,9.09,90.91,0.0
KOSOVO,4.0,96.0,0.0
KUWAIT,0.0,100.0,0.0
KYRGYZSTAN,6.59,93.41,0.0
LAOS,2.71,96.83,0.45
LATVIA,5.56,88.89,5.56
LEBANON,1.64,98.36,0.0
LIBERIA,7.19,92.09,0.72
LIBYA,0.0,100.0,0.0
LITHUANIA,7.69,92.31,0.0
MALAWI,33.33,66.67,0.0
MALAYSIA,0.0,100.0,0.0
MALI,2.04,97.96,0.0
MALTA,0.0,100.0,0.0
MARSHALL ISLANDS,7.69,92.31,0.0
MAURITANIA,1.27,98.73,0.0
MAURITIUS,0.0,100.0,0.0
MEXICO,6.68,92.89,0.43
"MICRONESIA, FEDERATED STATES OF",5.26,94.74,0.0
MOLDOVA,22.22,77.78,0.0
MONGOLIA,0.0,100.0,0.0
MONTENEGRO,10.0,90.0,0.0
MONTSERRAT,0.0,100.0,0.0
MOROCCO,6.67,93.33,0.0
MOZAMBIQUE,20.0,80.0,0.0
NAMIBIA,66.67,33.33,0.0
NEPAL,5.88,93.53,0.59
NETHERLANDS,16.13,83.87,0.0
NETHERLANDS ANTILLES,0.0,100.0,0.0
NEW ZEALAND,16.67,83.33,0.0
NICARAGUA,26.51,73.28,0.21
NIGER,3.33,96.67,0.0
NIGERIA,11.04,88.51,0.45
NORTH MACEDONIA,0.0,100.0,0.0
NORWAY,0.0,100.0,0.0
OMAN,0.0,100.0,0.0
PAKISTAN,3.23,95.7,1.08
PALAU,13.33,86.67,0.0
PANAMA,30.0,70.0,0.0
PAPUA NEW GUINEA,0.0,100.0,0.0
PARAGUAY,21.21,78.79,0.0
PERU,30.8,68.88,0.33
PHILIPPINES,16.41,82.05,1.54
POLAND,18.56,81.44,0.0
PORTUGAL,9.89,90.11,0.0
ROMANIA,29.73,69.69,0.58
RUSSIA,16.89,82.97,0.14
RWANDA,6.9,93.1,0.0
SAMOA,7.69,92.31,0.0
SAO TOME AND PRINCIPE,0.0,100.0,0.0
SAUDI ARABIA,10.26,89.74,0.0
SENEGAL,4.86,94.86,0.27
SERBIA,10.0,80.0,10.0
SERBIA AND MONTENEGRO,0.0,100.0,0.0
