Citizenship Country,Female,Male,Unknown
AFGHANISTAN,4,98,0
ALBANIA,5,22,0
ALGERIA,0,10,0
ANDORRA,0,0,0
ANGOLA,2,51,0
ANGUILLA,0,1,0
ANTIGUA-BARBUDA,1,3,0
ARGENTINA,16,60,0
ARMENIA,3,42,0
AUSTRALIA,1,13,0
AZERBAIJAN,3,29,0
BAHAMAS,17,96,2
BAHRAIN,0,1,0
BANGLADESH,2,67,0
BARBADOS,1,9,0
BELARUS,5,22,0
BELGIUM,3,12,0
BELIZE,9,64,0
BENIN,1,10,0
BHUTAN,0,57,1
BOLIVIA,75,168,0
BOSNIA-HERZEGOVINA,3,13,0
BOTSWANA,0,2,0
BRAZIL,215,1406,6
BRITISH VIRGIN ISLANDS,0,4,0
BULGARIA,4,5,0
BURKINA FASO,0,27,0
BURMA,2,72,0
BURUNDI,0,8,0
CAMBODIA,2,43,0
CAMEROON,26,53,1
CANADA,25,65,1
CAPE VERDE,2,26,0
CENTRAL AFRICAN REPUBLIC,0,3,0
CHAD,1,3,0
CHILE,47,183,2
"CHINA, PEOPLES REPUBLIC OF",286,650,2
COLOMBIA,798,2717,33
CONGO,2,23,0
COSTA RICA,13,103,1
CROATIA,0,2,0
CUBA,405,2383,47
CZECH REPUBLIC,0,6,0
DEM REP OF THE CONGO,1,51,0
DENMARK,0,2,0
DJIBOUTI,0,1,0
DOMINICA,0,9,0
DOMINICAN REPUBLIC,156,1668,10
EAST TIMOR,0,0,1
ECUADOR,379,2558,25
EGYPT,13,118,0
EL SALVADOR,707,4635,17
EQUATORIAL GUINEA,3,11,0
ERITREA,1,33,0
ESTONIA,0,1,0
ETHIOPIA,5,50,0
FIJI,0,3,0
FINLAND,1,1,0
FRANCE,5,21,0
GABON,0,3,0
GAMBIA,0,15,0
GEORGIA,5,74,1
GERMANY,6,15,0
GHANA,10,82,0
GREECE,0,8,0
GRENADA,0,6,0
GUADELOUPE,0,3,0
GUATEMALA,1261,14247,66
GUINEA,5,79,0
GUINEA-BISSAU,0,5,0
GUYANA,7,38,0
HAITI,84,527,9
HONDURAS,1502,11292,56
HONG KONG,3,6,0
HUNGARY,2,20,1
INDIA,38,765,1
INDONESIA,8,29,0
IRAN,39,204,0
IRAQ,4,43,0
IRELAND,10,28,0
ISRAEL,2,42,0
ITALY,4,44,0
IVORY COAST,1,18,0
JAMAICA,63,517,3
JAPAN,2,1,0
JORDAN,7,121,0
KAZAKHSTAN,5,29,0
KENYA,9,49,0
KOREA,1,4,0
KOSOVO,0,5,0
KUWAIT,0,3,0
KYRGYZSTAN,2,28,0
LAOS,5,143,1
LATVIA,0,5,1
LEBANON,0,27,0
LIBERIA,4,53,1
LIBYA,0,4,0
LITHUANIA,0,3,0
MALAWI,0,4,0
MALAYSIA,0,1,0
MALI,0,27,0
MALTA,0,1,0
MARSHALL ISLANDS,5,29,0
MAURITANIA,2,151,0
MAURITIUS,0,2,0
MEXICO,2780,37882,171
"MICRONESIA, FEDERATED STATES OF",5,64,0
MOLDOVA,5,10,0
MONGOLIA,0,5,0
MONTENEGRO,1,5,0
MONTSERRAT,0,1,0
MOROCCO,4,42,0
MOZAMBIQUE,0,1,0
NAMIBIA,1,0,0
NEPAL,4,108,1
NETHERLANDS,3,11,0
NEW ZEALAND,2,12,0
NICARAGUA,622,3167,21
NIGER,1,15,0
NIGERIA,17,153,0
NORTH MACEDONIA,0,1,0
OMAN,0,2,0
PAKISTAN,6,80,1
PALAU,0,5,0
PANAMA,10,37,0
PAPUA NEW GUINEA,0,1,0
PARAGUAY,2,6,0
PERU,286,1047,6
PHILIPPINES,20,54,1
POLAND,6,37,0
PORTUGAL,3,40,0
ROMANIA,119,263,3
RUSSIA,59,231,1
RWANDA,0,11,0
SAMOA,1,4,0
SAO TOME AND PRINCIPE,0,1,0
SAUDI ARABIA,3,20,0
SENEGAL,6,159,1
SERBIA,1,3,0
SERBIA AND MONTENEGRO,0,2,0
SIERRA LEONE,1,23,1
SINT EUSTATIUS,0,0,0
SLOVAKIA,0,6,0
SLOVENIA,0,3,0
SOMALIA,4,59,1
SOUTH AFRICA,6,21,1
SOUTH KOREA,6,27,1
SOUTH SUDAN,2,14,1
SPAIN,32,91,0
SRI LANKA,1,16,0
ST. KITTS-NEVIS,1,6,0
ST. LUCIA,2,12,0
ST. VINCENT-GRENADINES,0,2,0
SUDAN,3,52,0
SURINAME,0,6,0
SWEDEN,0,3,0
SYRIA,0,29,1
TAIWAN,12,10,0
TAJIKISTAN,0,34,0
TANZANIA,2,10,0
THAILAND,2,25,0
TOGO,1,16,0
TONGA,0,7,0
TRINIDAD AND TOBAGO,5,38,0
TUNISIA,1,9,0
TURKIYE,11,186,0
TURKMENISTAN,0,3,0
TURKS AND CAICOS ISLANDS,0,3,1
UGANDA,0,8,0
UKRAINE,8,56,0
UNITED ARAB EMIRATES,0,1,0
UNITED KINGDOM,17,72,0
URUGUAY,2,19,0
USSR,0,8,0
UZBEKISTAN,5,124,0
VENEZUELA,1148,6805,27
VIETNAM,36,419,2
YEMEN,1,17,0
YUGOSLAVIA,0,4,0
ZAMBIA,0,6,0
ZIMBABWE,4,19,1
