Citizenship Country,Atlanta Area of Responsibility,Baltimore Area of Responsibility,Boston Area of Responsibility,Buffalo Area of Responsibility,Chicago Area of Responsibility,Dallas Area of Responsibility,Denver Area of Responsibility,Detroit Area of Responsibility,El Paso Area of Responsibility,HQ Area of Responsibility,Harlingen Area of Responsibility,Houston Area of Responsibility,Los Angeles Area of Responsibility,Miami Area of Responsibility,New Orleans Area of Responsibility,New York City Area of Responsibility,Newark Area of Responsibility,Philadelphia Area of Responsibility,Phoenix Area of Responsibility,Salt Lake City Area of Responsibility,San Antonio Area of Responsibility,San Diego Area of Responsibility,San Francisco Area of Responsibility,Seattle Area of Responsibility,St. Paul Area of Responsibility,Washington Area of Responsibility
AFGHANISTAN,1,0,3,1,1,9,1,0,0,0,0,3,7,0,1,0,0,3,2,0,27,1,7,2,1,31
ALBANIA,1,0,3,1,0,1,0,5,0,0,1,0,0,7,0,3,2,2,0,0,1,0,0,0,0,0
ALGERIA,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0
ANDORRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGOLA,1,0,30,1,0,4,0,2,0,0,0,2,0,1,1,0,1,0,0,0,3,0,0,5,1,1
ANGUILLA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ANTIGUA-BARBUDA,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ARGENTINA,1,1,1,0,0,6,0,1,0,0,0,1,3,44,3,3,1,0,0,2,1,1,1,1,0,3
ARMENIA,0,0,0,0,0,1,1,0,1,0,0,0,29,1,0,0,0,3,1,6,0,0,2,0,0,0
AUSTRALIA,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,2,2,1,0,1,0,0,1,1
AZERBAIJAN,0,1,1,0,0,1,0,1,0,0,0,1,0,2,0,2,0,4,1,2,10,2,0,0,0,4
BAHAMAS,17,0,0,1,5,1,0,4,0,0,0,0,0,70,12,1,0,1,1,1,0,0,0,1,0,0
BAHRAIN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANGLADESH,3,2,2,2,0,1,0,6,1,0,0,0,3,9,0,26,1,3,1,0,0,0,2,0,0,7
BARBADOS,0,0,2,0,0,2,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1
BELARUS,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,4,5,0,0,2,0,0,0,3,0
BELGIUM,0,0,1,0,0,1,1,0,0,0,0,0,1,6,0,1,0,0,0,2,0,1,0,0,0,0
BELIZE,4,2,0,1,4,9,1,4,0,0,1,7,15,2,7,1,2,3,2,1,1,0,2,1,1,2
BENIN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0,3
BHUTAN,2,0,1,1,4,0,0,18,0,0,0,1,0,0,0,1,0,18,1,3,0,0,0,1,7,0
BOLIVIA,5,6,2,1,4,4,0,0,0,0,3,1,2,14,7,1,1,5,0,2,1,0,1,2,1,180
BOSNIA-HERZEGOVINA,0,0,2,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,3,0
BOTSWANA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BRAZIL,86,30,860,32,13,16,1,20,4,0,2,2,3,276,17,4,102,94,1,8,7,5,8,7,8,16
BRITISH VIRGIN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
BULGARIA,0,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0
BURKINA FASO,0,0,1,2,1,1,2,0,0,0,0,2,0,2,1,5,8,0,0,0,0,0,0,0,2,0
BURMA,3,0,0,2,23,8,2,0,0,0,0,4,0,1,3,2,0,0,3,0,0,0,0,2,20,1
BURUNDI,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0
CAMBODIA,1,0,13,0,1,3,0,0,0,0,0,0,4,0,1,0,0,1,2,1,0,3,11,2,0,2
CAMEROON,0,12,1,0,3,3,0,9,1,0,1,1,4,0,0,1,0,2,0,0,3,1,0,1,1,34
CANADA,5,3,4,3,6,2,2,3,0,0,0,5,2,23,4,2,0,11,1,4,0,1,2,3,3,1
CAPE VERDE,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CENTRAL AFRICAN REPUBLIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
CHAD,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
CHILE,4,4,1,2,12,10,10,6,0,0,3,3,17,82,5,11,9,6,3,29,7,0,4,1,0,1
"CHINA, PEOPLES REPUBLIC OF",26,11,23,27,35,113,9,27,4,0,7,28,175,37,52,113,14,38,11,21,18,12,63,13,11,21
COLOMBIA,316,19,160,36,213,178,191,70,61,1,21,128,216,667,137,133,254,82,43,124,169,27,75,49,39,123
CONGO,2,0,8,2,0,4,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1
COSTA RICA,8,2,3,6,3,7,3,2,3,0,3,2,0,20,6,0,26,11,1,0,3,0,2,0,0,5
CROATIA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
CUBA,51,4,7,9,77,189,37,31,141,0,41,239,28,1245,107,3,15,15,86,57,345,13,5,8,24,53
CZECH REPUBLIC,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
DEM REP OF THE CONGO,1,0,12,3,8,5,0,4,0,0,0,0,1,1,1,0,0,1,4,2,2,0,1,0,3,2
DENMARK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
DJIBOUTI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOMINICA,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0
DOMINICAN REPUBLIC,45,13,459,37,30,9,1,34,2,0,0,9,7,379,47,142,208,341,12,9,7,2,0,0,5,20
EAST TIMOR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ECUADOR,67,42,524,267,109,44,4,36,17,0,9,25,53,114,31,559,495,164,26,18,49,7,4,8,234,42
EGYPT,3,0,6,0,5,6,6,4,0,0,0,2,2,9,23,1,14,10,1,1,2,1,1,0,3,30
EL SALVADOR,269,359,223,30,181,486,85,95,22,2,83,737,295,316,373,226,140,89,34,154,163,19,133,36,138,648
EQUATORIAL GUINEA,2,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,4
ERITREA,4,1,2,1,2,2,3,1,0,0,0,0,0,0,2,0,0,1,1,2,3,2,2,1,3,1
ESTONIA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ETHIOPIA,2,4,0,0,3,2,1,3,0,0,0,0,0,1,2,0,0,3,1,1,1,2,2,5,5,17
FIJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
FINLAND,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRANCE,1,0,1,0,0,0,0,1,0,0,0,1,1,8,0,1,2,2,1,1,0,0,1,0,1,2
GABON,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
GAMBIA,2,3,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,2,0
GEORGIA,0,2,4,4,1,0,0,2,0,0,1,2,1,4,2,22,6,27,0,0,1,0,0,0,0,1
GERMANY,2,0,0,0,1,3,0,0,0,0,0,0,1,2,2,0,1,1,1,2,0,0,0,1,1,2
GHANA,9,4,7,1,4,4,1,8,1,0,1,2,0,0,2,9,7,12,1,2,2,1,0,1,0,13
GREECE,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1
GRENADA,1,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GUADELOUPE,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUATEMALA,1401,402,731,139,994,807,129,411,116,4,190,989,570,2877,2055,162,388,536,330,257,490,112,143,107,552,617
GUINEA,7,0,3,3,7,0,0,1,0,0,1,0,0,0,2,24,4,10,3,0,3,2,0,1,4,9
GUINEA-BISSAU,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GUYANA,5,1,0,12,0,0,0,1,0,0,0,0,1,5,1,7,4,4,0,0,0,0,0,0,1,2
HAITI,31,15,52,4,39,1,2,18,3,0,1,2,3,278,23,36,24,45,2,2,1,11,1,6,5,11
HONDURAS,1126,286,161,21,745,1084,176,252,70,0,237,1795,185,1590,1719,174,249,245,77,241,1216,16,129,107,253,641
HONG KONG,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
HUNGARY,0,0,0,4,0,0,0,0,0,0,0,1,2,11,0,1,1,1,0,0,0,0,0,0,1,1
INDIA,49,4,17,19,87,27,8,26,3,0,5,37,52,28,57,32,33,36,18,5,26,6,144,36,9,36
INDONESIA,0,1,0,0,0,2,2,1,0,0,0,1,9,1,6,2,1,4,0,2,1,0,0,2,0,0
IRAN,4,4,0,5,5,8,9,6,5,0,0,12,68,18,5,13,2,1,10,8,39,4,7,2,1,4
