Citizenship Country,Atlanta Area of Responsibility,Baltimore Area of Responsibility,Boston Area of Responsibility,Buffalo Area of Responsibility,Chicago Area of Responsibility,Dallas Area of Responsibility,Denver Area of Responsibility,Detroit Area of Responsibility,El Paso Area of Responsibility,HQ Area of Responsibility,Harlingen Area of Responsibility,Houston Area of Responsibility,Los Angeles Area of Responsibility,Miami Area of Responsibility,New Orleans Area of Responsibility,New York City Area of Responsibility,Newark Area of Responsibility,Philadelphia Area of Responsibility,Phoenix Area of Responsibility,Salt Lake City Area of Responsibility,San Antonio Area of Responsibility,San Diego Area of Responsibility,San Francisco Area of Responsibility,Seattle Area of Responsibility,St. Paul Area of Responsibility,Washington Area of Responsibility
AFGHANISTAN,0.99,0.0,2.97,0.99,0.99,8.91,0.99,0.0,0.0,0.0,0.0,2.97,6.93,0.0,0.99,0.0,0.0,2.97,1.98,0.0,26.73,0.99,6.93,1.98,0.99,30.69
ALBANIA,3.7,0.0,11.11,3.7,0.0,3.7,0.0,18.52,0.0,0.0,3.7,0.0,0.0,25.93,0.0,11.11,7.41,7.41,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0
ALGERIA,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
ANDORRA,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGOLA,1.89,0.0,56.6,1.89,0.0,7.55,0.0,3.77,0.0,0.0,0.0,3.77,0.0,1.89,1.89,0.0,1.89,0.0,0.0,0.0,5.66,0.0,0.0,9.43,1.89,1.89
ANGUILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANTIGUA-BARBUDA,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGENTINA,1.35,1.35,1.35,0.0,0.0,8.11,0.0,1.35,0.0,0.0,0.0,1.35,4.05,59.46,4.05,4.05,1.35,0.0,0.0,2.7,1.35,1.35,1.35,1.35,0.0,4.05
ARMENIA,0.0,0.0,0.0,0.0,0.0,2.22,2.22,0.0,2.22,0.0,0.0,0.0,64.44,2.22,0.0,0.0,0.0,6.67,2.22,13.33,0.0,0.0,4.44,0.0,0.0,0.0
AUSTRALIA,7.14,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,14.29,7.14,0.0,14.29,14.29,7.14,0.0,7.14,0.0,0.0,7.14,7.14
AZERBAIJAN,0.0,3.12,3.12,0.0,0.0,3.12,0.0,3.12,0.0,0.0,0.0,3.12,0.0,6.25,0.0,6.25,0.0,12.5,3.12,6.25,31.25,6.25,0.0,0.0,0.0,12.5
