Citizenship Country,287(g) Program,Anti-Smuggling,Boat Patrol,CAP Federal Incarceration,CAP Local Incarceration,CAP State Incarceration,Crewman/Stowaway,Criminal Alien Program,ERO Reprocessed Arrest,Inspections,Law Enforcement Agency Response Unit,Located,Non-Custodial Arrest,Organized Crime Drug Enforcement Task Force,Other Agency (turned over to INS),Other Task Force,Other efforts,Patrol Border,Patrol Interior,Probation and Parole,Traffic Check,Transportation Check Aircraft,Transportation Check Bus,Transportation Check Passenger Train,Worksite Enforcement
AFGHANISTAN,0,0,0,26,11,2,0,0,1,0,0,10,47,0,0,0,4,0,0,1,0,0,0,0,0
ALBANIA,1,1,0,1,6,1,0,0,0,0,0,10,6,0,0,0,0,0,0,1,0,0,0,0,0
ALGERIA,0,0,0,0,3,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
ANDORRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGOLA,0,0,0,1,11,0,0,0,0,0,0,8,33,0,0,0,0,0,0,0,0,0,0,0,0
ANGUILLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANTIGUA-BARBUDA,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARGENTINA,1,0,0,2,36,2,0,0,3,0,0,19,10,0,0,0,0,0,0,2,0,1,0,0,0
ARMENIA,0,0,0,5,4,1,0,0,0,0,0,17,12,0,0,0,5,0,0,0,0,0,0,0,1
AUSTRALIA,0,0,0,4,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AZERBAIJAN,0,0,0,11,5,1,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0
BAHAMAS,2,0,0,4,60,2,0,0,1,0,0,28,14,0,0,0,0,0,0,4,0,0,0,0,0
BAHRAIN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BANGLADESH,0,0,0,0,13,0,0,0,1,0,0,18,31,0,0,0,4,0,0,2,0,0,0,0,0
BARBADOS,0,0,0,1,3,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
BELARUS,0,0,0,3,11,0,0,0,0,0,0,6,6,0,0,0,1,0,0,0,0,0,0,0,0
BELGIUM,0,0,0,0,3,0,0,0,0,0,1,8,2,0,0,0,1,0,0,0,0,0,0,0,0
BELIZE,2,0,0,3,30,5,0,0,0,0,0,15,16,0,0,0,1,0,0,1,0,0,0,0,0
BENIN,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
BHUTAN,1,0,0,1,14,3,0,0,0,0,0,17,20,0,0,1,1,0,0,0,0,0,0,0,0
BOLIVIA,1,0,0,6,19,1,0,0,0,0,0,26,170,0,0,1,16,0,0,3,0,0,0,0,0
BOSNIA-HERZEGOVINA,0,0,0,0,5,3,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
BOTSWANA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAZIL,25,0,0,16,266,9,0,0,16,0,1,328,943,0,2,3,15,0,0,2,0,0,0,0,1
BRITISH VIRGIN ISLANDS,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
BULGARIA,1,0,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BURKINA FASO,0,0,0,3,7,2,0,0,0,0,0,8,6,0,0,0,1,0,0,0,0,0,0,0,0
BURMA,0,0,0,1,23,11,0,0,0,0,0,9,25,0,0,0,3,0,0,2,0,0,0,0,0
BURUNDI,0,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
CAMBODIA,0,0,0,1,7,11,0,0,0,0,0,5,19,0,0,0,2,0,0,0,0,0,0,0,0
CAMEROON,0,0,0,2,16,1,0,0,2,1,0,7,43,0,0,0,8,0,0,0,0,0,0,0,0
CANADA,3,0,0,11,30,4,0,0,2,0,0,13,22,0,0,0,1,0,0,5,0,0,0,0,0
CAPE VERDE,0,0,0,0,2,4,0,0,1,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL AFRICAN REPUBLIC,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHAD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
CHILE,2,0,0,4,112,13,0,0,3,0,2,50,38,0,0,1,3,0,0,4,0,0,0,0,0
"CHINA, PEOPLES REPUBLIC OF",2,0,0,53,237,30,0,0,34,0,4,244,258,0,2,1,64,0,0,4,0,0,0,0,5
COLOMBIA,46,0,0,183,1133,41,0,0,30,3,8,728,1149,1,5,16,181,1,2,12,2,1,0,0,6
CONGO,0,0,0,0,4,1,0,0,1,0,0,4,12,0,0,1,0,0,0,2,0,0,0,0,0
COSTA RICA,3,0,0,8,47,3,0,0,1,0,1,17,34,0,0,0,2,0,0,1,0,0,0,0,0
CROATIA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CUBA,66,1,0,115,1220,63,0,0,16,0,5,610,646,0,0,6,69,0,0,14,1,0,0,0,3
CZECH REPUBLIC,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
DEM REP OF THE CONGO,0,0,0,1,22,4,0,0,1,0,0,3,16,0,0,0,2,0,0,3,0,0,0,0,0
DENMARK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
DJIBOUTI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DOMINICA,0,0,0,0,2,0,0,0,1,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0
DOMINICAN REPUBLIC,14,0,0,190,294,236,0,0,40,0,9,282,674,1,2,5,57,0,9,17,1,0,0,0,3
EAST TIMOR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ECUADOR,17,0,0,125,515,23,0,0,22,1,13,622,1438,0,3,8,135,0,2,27,0,0,1,0,10
EGYPT,1,0,0,4,29,3,0,0,3,0,0,11,75,0,0,0,4,0,0,1,0,0,0,0,0
EL SALVADOR,133,1,1,262,2031,168,1,0,25,1,25,1075,1333,0,18,33,158,0,2,76,5,0,0,1,10
EQUATORIAL GUINEA,0,0,0,0,4,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0
ERITREA,0,0,0,3,10,1,0,0,0,0,0,8,10,0,0,1,1,0,0,0,0,0,0,0,0
ESTONIA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHIOPIA,1,0,0,2,8,4,0,0,0,0,1,5,25,0,1,0,7,0,0,1,0,0,0,0,0
FIJI,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FINLAND,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
FRANCE,0,0,0,1,11,2,0,0,1,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0
GABON,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GAMBIA,1,0,0,1,3,1,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
GEORGIA,0,0,0,4,18,0,0,0,1,0,0,12,40,0,0,0,5,0,0,0,0,0,0,0,0
GERMANY,0,0,0,0,8,1,0,0,1,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0
GHANA,1,0,0,9,25,3,0,0,0,0,1,13,38,0,0,0,2,0,0,0,0,0,0,0,0
GREECE,0,0,0,0,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
GRENADA,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
GUADELOUPE,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
GUATEMALA,492,10,0,531,6728,230,0,1,100,3,84,3000,3785,1,34,68,307,10,3,147,8,1,1,0,30
GUINEA,2,0,0,2,14,0,0,0,0,0,1,13,44,0,0,0,7,0,0,0,0,0,0,0,1
GUINEA-BISSAU,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GUYANA,0,0,0,2,10,5,0,0,1,0,0,10,16,0,0,0,0,0,0,1,0,0,0,0,0
HAITI,14,0,0,11,208,17,0,0,9,1,0,179,139,0,5,1,27,0,0,8,0,0,0,0,1
HONDURAS,356,1,1,893,6191,178,0,0,56,3,64,2095,2521,3,23,71,278,0,6,90,11,0,0,0,9
HONG KONG,0,0,0,0,3,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0
