Citizenship Country,287(g) Program,Anti-Smuggling,Boat Patrol,CAP Federal Incarceration,CAP Local Incarceration,CAP State Incarceration,Crewman/Stowaway,Criminal Alien Program,ERO Reprocessed Arrest,Inspections,Law Enforcement Agency Response Unit,Located,Non-Custodial Arrest,Organized Crime Drug Enforcement Task Force,Other Agency (turned over to INS),Other Task Force,Other efforts,Patrol Border,Patrol Interior,Probation and Parole,Traffic Check,Transportation Check Aircraft,Transportation Check Bus,Transportation Check Passenger Train,Worksite Enforcement
AFGHANISTAN,0.0,0.0,0.0,25.49,10.78,1.96,0.0,0.0,0.98,0.0,0.0,9.8,46.08,0.0,0.0,0.0,3.92,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0
ALBANIA,3.7,3.7,0.0,3.7,22.22,3.7,0.0,0.0,0.0,0.0,0.0,37.04,22.22,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0
ALGERIA,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDORRA,,,,,,,,,,,,,,,,,,,,,,,,,
ANGOLA,0.0,0.0,0.0,1.89,20.75,0.0,0.0,0.0,0.0,0.0,0.0,15.09,62.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGUILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANTIGUA-BARBUDA,0.0,0.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGENTINA,1.32,0.0,0.0,2.63,47.37,2.63,0.0,0.0,3.95,0.0,0.0,25.0,13.16,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,1.32,0.0,0.0,0.0
ARMENIA,0.0,0.0,0.0,11.11,8.89,2.22,0.0,0.0,0.0,0.0,0.0,37.78,26.67,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22
AUSTRALIA,0.0,0.0,0.0,28.57,57.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZERBAIJAN,0.0,0.0,0.0,34.38,15.62,3.12,0.0,0.0,0.0,0.0,0.0,6.25,40.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAHAMAS,1.74,0.0,0.0,3.48,52.17,1.74,0.0,0.0,0.87,0.0,0.0,24.35,12.17,0.0,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0
BAHRAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANGLADESH,0.0,0.0,0.0,0.0,18.84,0.0,0.0,0.0,1.45,0.0,0.0,26.09,44.93,0.0,0.0,0.0,5.8,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0
BARBADOS,0.0,0.0,0.0,10.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELARUS,0.0,0.0,0.0,11.11,40.74,0.0,0.0,0.0,0.0,0.0,0.0,22.22,22.22,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELGIUM,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,6.67,53.33,13.33,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELIZE,2.74,0.0,0.0,4.11,41.1,6.85,0.0,0.0,0.0,0.0,0.0,20.55,21.92,0.0,0.0,0.0,1.37,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0
BENIN,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHUTAN,1.72,0.0,0.0,1.72,24.14,5.17,0.0,0.0,0.0,0.0,0.0,29.31,34.48,0.0,0.0,1.72,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOLIVIA,0.41,0.0,0.0,2.47,7.82,0.41,0.0,0.0,0.0,0.0,0.0,10.7,69.96,0.0,0.0,0.41,6.58,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0
BOSNIA-HERZEGOVINA,0.0,0.0,0.0,0.0,31.25,18.75,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOTSWANA,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRAZIL,1.54,0.0,0.0,0.98,16.35,0.55,0.0,0.0,0.98,0.0,0.06,20.16,57.96,0.0,0.12,0.18,0.92,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.06
BRITISH VIRGIN ISLANDS,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULGARIA,11.11,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BURKINA FASO,0.0,0.0,0.0,11.11,25.93,7.41,0.0,0.0,0.0,0.0,0.0,29.63,22.22,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BURMA,0.0,0.0,0.0,1.35,31.08,14.86,0.0,0.0,0.0,0.0,0.0,12.16,33.78,0.0,0.0,0.0,4.05,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0
BURUNDI,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMBODIA,0.0,0.0,0.0,2.22,15.56,24.44,0.0,0.0,0.0,0.0,0.0,11.11,42.22,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMEROON,0.0,0.0,0.0,2.5,20.0,1.25,0.0,0.0,2.5,1.25,0.0,8.75,53.75,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANADA,3.3,0.0,0.0,12.09,32.97,4.4,0.0,0.0,2.2,0.0,0.0,14.29,24.18,0.0,0.0,0.0,1.1,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0
CAPE VERDE,0.0,0.0,0.0,0.0,7.14,14.29,0.0,0.0,3.57,0.0,0.0,10.71,64.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENTRAL AFRICAN REPUBLIC,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0
CHAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHILE,0.86,0.0,0.0,1.72,48.28,5.6,0.0,0.0,1.29,0.0,0.86,21.55,16.38,0.0,0.0,0.43,1.29,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0
"CHINA, PEOPLES REPUBLIC OF",0.21,0.0,0.0,5.65,25.27,3.2,0.0,0.0,3.62,0.0,0.43,26.01,27.51,0.0,0.21,0.11,6.82,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.53
COLOMBIA,1.3,0.0,0.0,5.16,31.93,1.16,0.0,0.0,0.85,0.08,0.23,20.52,32.38,0.03,0.14,0.45,5.1,0.03,0.06,0.34,0.06,0.03,0.0,0.0,0.17
CONGO,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,4.0,0.0,0.0,16.0,48.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
COSTA RICA,2.56,0.0,0.0,6.84,40.17,2.56,0.0,0.0,0.85,0.0,0.85,14.53,29.06,0.0,0.0,0.0,1.71,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0
CROATIA,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUBA,2.33,0.04,0.0,4.06,43.03,2.22,0.0,0.0,0.56,0.0,0.18,21.52,22.79,0.0,0.0,0.21,2.43,0.0,0.0,0.49,0.04,0.0,0.0,0.0,0.11
CZECH REPUBLIC,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEM REP OF THE CONGO,0.0,0.0,0.0,1.92,42.31,7.69,0.0,0.0,1.92,0.0,0.0,5.77,30.77,0.0,0.0,0.0,3.85,0.0,0.0,5.77,0.0,0.0,0.0,0.0,0.0
DENMARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
DJIBOUTI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOMINICA,0.0,0.0,0.0,0.0,22.22,0.0,0.0,0.0,11.11,11.11,0.0,22.22,11.11,0.0,0.0,0.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOMINICAN REPUBLIC,0.76,0.0,0.0,10.36,16.03,12.87,0.0,0.0,2.18,0.0,0.49,15.38,36.75,0.05,0.11,0.27,3.11,0.0,0.49,0.93,0.05,0.0,0.0,0.0,0.16
EAST TIMOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
