Citizenship Country,Apprehension AOR,n_arrests
AFGHANISTAN,Atlanta Area of Responsibility,1
AFGHANISTAN,Boston Area of Responsibility,3
AFGHANISTAN,Buffalo Area of Responsibility,1
AFGHANISTAN,Chicago Area of Responsibility,1
AFGHANISTAN,Dallas Area of Responsibility,9
AFGHANISTAN,Denver Area of Responsibility,1
AFGHANISTAN,Houston Area of Responsibility,3
AFGHANISTAN,Los Angeles Area of Responsibility,7
AFGHANISTAN,New Orleans Area of Responsibility,1
AFGHANISTAN,Philadelphia Area of Responsibility,3
AFGHANISTAN,Phoenix Area of Responsibility,2
AFGHANISTAN,San Antonio Area of Responsibility,27
AFGHANISTAN,San Diego Area of Responsibility,1
AFGHANISTAN,San Francisco Area of Responsibility,7
AFGHANISTAN,Seattle Area of Responsibility,2
AFGHANISTAN,St. Paul Area of Responsibility,1
AFGHANISTAN,Washington Area of Responsibility,31
ALBANIA,Atlanta Area of Responsibility,1
ALBANIA,Boston Area of Responsibility,3
ALBANIA,Buffalo Area of Responsibility,1
ALBANIA,Dallas Area of Responsibility,1
ALBANIA,Detroit Area of Responsibility,5
ALBANIA,Harlingen Area of Responsibility,1
ALBANIA,Miami Area of Responsibility,7
ALBANIA,New York City Area of Responsibility,3
ALBANIA,Newark Area of Responsibility,2
ALBANIA,Philadelphia Area of Responsibility,2
ALBANIA,San Antonio Area of Responsibility,1
ALGERIA,Boston Area of Responsibility,1
ALGERIA,Buffalo Area of Responsibility,1
ALGERIA,Dallas Area of Responsibility,1
ALGERIA,Detroit Area of Responsibility,1
ALGERIA,El Paso Area of Responsibility,0
ALGERIA,New York City Area of Responsibility,0
ALGERIA,Newark Area of Responsibility,1
ALGERIA,Philadelphia Area of Responsibility,4
ALGERIA,San Diego Area of Responsibility,1
ANDORRA,Dallas Area of Responsibility,0
ANGOLA,Atlanta Area of Responsibility,1
ANGOLA,Boston Area of Responsibility,30
ANGOLA,Buffalo Area of Responsibility,1
ANGOLA,Dallas Area of Responsibility,4
ANGOLA,Detroit Area of Responsibility,2
ANGOLA,Houston Area of Responsibility,2
ANGOLA,Miami Area of Responsibility,1
ANGOLA,New Orleans Area of Responsibility,1
ANGOLA,Newark Area of Responsibility,1
ANGOLA,San Antonio Area of Responsibility,3
ANGOLA,Seattle Area of Responsibility,5
ANGOLA,St. Paul Area of Responsibility,1
ANGOLA,Washington Area of Responsibility,1
ANGUILLA,Miami Area of Responsibility,1
ANTIGUA-BARBUDA,Atlanta Area of Responsibility,1
ANTIGUA-BARBUDA,Buffalo Area of Responsibility,1
ANTIGUA-BARBUDA,Miami Area of Responsibility,1
ANTIGUA-BARBUDA,New Orleans Area of Responsibility,1
ARGENTINA,Atlanta Area of Responsibility,1
ARGENTINA,Baltimore Area of Responsibility,1
ARGENTINA,Boston Area of Responsibility,1
ARGENTINA,Dallas Area of Responsibility,6
ARGENTINA,Detroit Area of Responsibility,1
ARGENTINA,Houston Area of Responsibility,1
ARGENTINA,Los Angeles Area of Responsibility,3
ARGENTINA,Miami Area of Responsibility,44
ARGENTINA,New Orleans Area of Responsibility,3
ARGENTINA,New York City Area of Responsibility,3
ARGENTINA,Newark Area of Responsibility,1
ARGENTINA,Salt Lake City Area of Responsibility,2
ARGENTINA,San Antonio Area of Responsibility,1
ARGENTINA,San Diego Area of Responsibility,1
ARGENTINA,San Francisco Area of Responsibility,1
ARGENTINA,Seattle Area of Responsibility,1
ARGENTINA,Washington Area of Responsibility,3
ARMENIA,Dallas Area of Responsibility,1
ARMENIA,Denver Area of Responsibility,1
ARMENIA,El Paso Area of Responsibility,1
ARMENIA,Los Angeles Area of Responsibility,29
ARMENIA,Miami Area of Responsibility,1
ARMENIA,Philadelphia Area of Responsibility,3
ARMENIA,Phoenix Area of Responsibility,1
ARMENIA,Salt Lake City Area of Responsibility,6
ARMENIA,San Francisco Area of Responsibility,2
AUSTRALIA,Atlanta Area of Responsibility,1
AUSTRALIA,Chicago Area of Responsibility,1
AUSTRALIA,Miami Area of Responsibility,1
AUSTRALIA,New Orleans Area of Responsibility,2
AUSTRALIA,New York City Area of Responsibility,1
AUSTRALIA,Philadelphia Area of Responsibility,2
AUSTRALIA,Phoenix Area of Responsibility,2
AUSTRALIA,Salt Lake City Area of Responsibility,1
AUSTRALIA,San Diego Area of Responsibility,1
AUSTRALIA,St. Paul Area of Responsibility,1
AUSTRALIA,Washington Area of Responsibility,1
AZERBAIJAN,Baltimore Area of Responsibility,1
AZERBAIJAN,Boston Area of Responsibility,1
AZERBAIJAN,Dallas Area of Responsibility,1
AZERBAIJAN,Detroit Area of Responsibility,1
AZERBAIJAN,Houston Area of Responsibility,1
AZERBAIJAN,Miami Area of Responsibility,2
AZERBAIJAN,New York City Area of Responsibility,2
AZERBAIJAN,Philadelphia Area of Responsibility,4
AZERBAIJAN,Phoenix Area of Responsibility,1
AZERBAIJAN,Salt Lake City Area of Responsibility,2
AZERBAIJAN,San Antonio Area of Responsibility,10
AZERBAIJAN,San Diego Area of Responsibility,2
AZERBAIJAN,Washington Area of Responsibility,4
BAHAMAS,Atlanta Area of Responsibility,17
BAHAMAS,Buffalo Area of Responsibility,1
BAHAMAS,Chicago Area of Responsibility,5
BAHAMAS,Dallas Area of Responsibility,1
BAHAMAS,Detroit Area of Responsibility,4
BAHAMAS,Miami Area of Responsibility,70
BAHAMAS,New Orleans Area of Responsibility,12
BAHAMAS,New York City Area of Responsibility,1
